id,overall_status,study_type,phase,sponsors,sponsors_class,start_date,completion_date,primary_completion_date,primary_purpose,enrollment,condition,location_countries,gender,age,intervention,primary_outcome,title
NCT04320238,Recruiting,Interventional,Phase 3,Shanghai Jiao Tong University School of Medicine,Other,21-Jan-20,20-Jun-21,20-May-21,PREVENTION,2944,2019 NOVEL CORONAVIRUS INFECTION,CHINA,ALL,"18 Years to 65 Years   (Adult, Older Adult)",RECOMBINANT HUMAN INTERFERON ALPHA-1B,NEW-ONSET COVID-19,An Clinic Trial of Recombinant Human Interferon Alpha Nasal Drops to Prevent Coronavirus Disease 2019 in Medical Staff in Epidemic Area
NCT04320277,Not yet recruiting,Interventional,Phase 2/Phase 3,Hospital of Prato,Other,16-May-20,30-Jul-20,30-Jun-20,TREATMENT,200,PHARMACOLOGICAL ACTION,ITALY,ALL,"18 Years to 85 Years   (Adult, Older Adult)",BARICITINIB,THE PERCENTAGE OF PATIENTS REQUIRING TRANSFER TO ICU AS COMPARED WITH THE RATE OF TRANSFERS OBSERVED IN CONTROLS.,"Baricitinib Combined With Antiviral Therapy in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study"
NCT04320472,"Active, not recruiting",Observational [Patient Registry],,Ictal Group,Other,23-Mar-20,31-Dec-20,30-Sep-20,COHORT,250,COVID,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",FOLLOW UP,PREVALENCE,Outcomes in Patients With Acute Encephalopathy and SARS-Cov-2 Infection
NCT04320511,Recruiting,Observational,,William Beaumont Hospitals,Other,24-Jun-20,22-Jun-21,21-Jun-21,COHORT,25,SARS-COV2,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",CT-V,"PREDICTIVE ASSOCIATION BETWEEN CT-V, PBM SCORE AND DISEASE PROGRESSION","COVID CT, Beaumont Quantitative Lung Function Imaging to Characterize Patients With SARS-COV 2"
NCT04320615,Completed,Interventional,Phase 3,Hoffmann-La Roche,Industry,3-Apr-20,28-Jul-20,24-Jun-20,TREATMENT,450,COVID PNEUMONIA,CANADA,ALL,"18 Years and older   (Adult, Older Adult)",TOCILIZUMAB (TCZ),CLINICAL STATUS ASSESSED USING A 7-CATEGORY ORDINAL SCALE,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia"
NCT04320732,Recruiting,Observational,,Oslo University Hospital,Other,27-Mar-20,20-Mar-30,27-Mar-22,CASE-CONTROL,250000,CORONAVIRUS,NORWAY,ALL,"18 Years and older   (Adult, Older Adult)",OBSERVATION OF BEHAVIOR AND COVID-19 INFECTION WILL BE CONDUCTED.,RATE OF COVID-19 INFECTION,Risk Factors for Community- and Workplace Transmission of COVID-19
NCT04320862,Recruiting,Observational,,Duke University,Other,3-Apr-20,31-Dec-21,31-Dec-21,COHORT,200000,COVID,UNITED STATES,ALL,"Child, Adult, Older Adult",,NUMBER OF PARTICIPANTS WHO EXPERIENCE INPATIENT ADMISSION,Pandemic Response Network: Duke Community Health Watch
NCT04320953,Completed,Interventional,Not Applicable,Changhai Hospital,Other,16-Mar-20,9-Apr-20,26-Mar-20,OTHER,5,GASTROINTESTINAL DISEASE,CHINA,ALL,"18 Years to 80 Years   (Adult, Older Adult)",NON-CONTACT MCE SYSTEM,TECHNICAL SUCCESS,Non-contact Endoscopy at Covid-19 Outbreak
NCT04321096,"Active, not recruiting",Interventional,Phase 1/Phase 2,University of Aarhus,Other,4-Apr-20,1-May-21,31-Jan-21,TREATMENT,580,CORONAVIRUS INFECTION,DENMARK,ALL,"18 Years to 110 Years   (Adult, Older Adult)",CAMOSTAT MESILATE,COHORT 1: DAYS TO CLINICAL IMPROVEMENT FROM STUDY ENROLMENT,"The Impact of Camostat Mesilate on COVID-19 Infection: An Investigator-initiated Randomized, Placebo-controlled, Phase IIa Trial"
NCT04321174,Recruiting,Interventional,Phase 3,Darrell Tan,Other,17-Apr-20,31-Mar-22,31-Mar-21,PREVENTION,1220,CORONAVIRUS INFECTION,CANADA,ALL,"18 Months and older   (Child, Adult, Older Adult)",LOPINAVIR/RITONAVIR,MICROBIOLOGIC EVIDENCE OF INFECTION,COVID-19 Ring-based Prevention Trial With Lopinavir/Ritonavir
NCT04321265,Recruiting,Observational,,"Heinrich-Heine University, Duesseldorf",Other,19-Mar-20,21-Dec-21,21-Sep-21,COHORT,4000,COVID,DENMARK,ALL,70 Years and older   (Older Adult),,SURVIVAL,Outcomes and Prognostic Factors in Coronavirus Disease (COVID-19) in Very Old Intensive Care Patients
NCT04321278,Completed,Interventional,Phase 3,Hospital Israelita Albert Einstein,Other,28-Mar-20,14-Jun-20,14-Jun-20,TREATMENT,440,CORONAVIRUS INFECTION,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",HYDROXYCHLOROQUINE + AZITHROMYCIN,EVALUATION OF THE CLINICAL STATUS,Evaluation of the Safety and Clinical Efficacy of Hydroxychloroquine Associated With Azithromycin in Patients With Pneumonia Caused by Infection by the SARS-CoV2 Virus - Coalition COVID-19 Brasil II - SEVERE - Patients
NCT04321369,Completed,Observational,,Dr. Deneen Vojta,Industry,9-Mar-20,23-Mar-20,23-Mar-20,CASE-ONLY,533,"INFECTIONS, RESPIRATORY",UNITED STATES,ALL,"Child, Adult, Older Adult",TESTING SENSITIVITY FOR SARS-COV-2 VIRUS IN SYMPTOMATIC INDIVIDUALS,ACCURACY OF PATIENT ADMINISTERED TESTS,Impact of Swab Site and Sample Collector on Testing Sensitivity for COVID-19 Virus in Symptomatic Individuals
NCT04321421,Completed,Interventional,Not Applicable,Foundation IRCCS San Matteo Hospital,Other,17-Mar-20,7-May-20,28-Apr-20,TREATMENT,49,COVID,ITALY,ALL,"18 Years and older   (Adult, Older Adult)",HYPERIMMUNE PLASMA,DEATH,Plasma From Donors Recovered From New Coronavirus 2019 As Therapy For Critical Patients With Covid-19
NCT04321616,Recruiting,Interventional,Phase 2/Phase 3,Oslo University Hospital,Other,28-Mar-20,20-Nov-21,20-Aug-21,TREATMENT,700,SARS-COV INFECTION,NORWAY,ALL,"18 Years and older   (Adult, Older Adult)",HYDROXYCHLOROQUINE,IN-HOSPITAL MORTALITY,The (Norwegian) NOR Solidarity Multicenter Trial on the Efficacy of Different Anti-viral Drugs in SARS-CoV-2 Infected Patients
NCT04321811,"Active, not recruiting",Observational [Patient Registry],,xCures,Industry,21-Mar-20,20-Mar-22,9-Feb-21,COHORT,100000,CORONAVIRUS,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)","OBSERVATION OF PATIENTS WITH KNOWN, SUSPECTED, OR AT RISK FOR COVID-19 INFECTION",DEFINE NATURAL SYMPTOM COURSE,A PATIENT-CENTRIC OUTCOMES REGISTRY OF PATIENTS WITH KNOWN OR SUSPECTED NOVEL CORONAVIRUS INFECTION SARS-COV-2 (COVID-19)
NCT04321928,Recruiting,Interventional,Not Applicable,University of Pecs,Other,1-Apr-20,21-Aug-21,21-Apr-21,PREVENTION,7576,SARS-COV2,HUNGARY,ALL,"60 Years and older   (Adult, Older Adult)",PERSONALIZED HEALTH EDUCATION,"PRIMARY COMPOSITE RATE OF INTENSIVE CARE UNIT (ICU) ADMISSION, 48 HOURS OF HOSPITAL ADMISSION, DEATH IN COVID-19 POSITIVE CASES",Personalized Health Education Against the Health Damage of COVID-19 Epidemic in Hungary (PROACTIVE-19)
NCT04321993,Recruiting,Interventional,Phase 2,Lisa Barrett,Other,17-Apr-20,22-Mar-21,22-Feb-21,TREATMENT,800,COVID,CANADA,ALL,"18 Years and older   (Adult, Older Adult)",BARICITINIB (JANUS KINASE INHIBITOR),CLINICAL STATUS OF SUBJECT AT DAY 15 (ON A 7 POINT ORDINAL SCALE).,Treatment of Moderate to Severe Coronavirus Disease (COVID-19) in Hospitalized Patients
NCT04322123,"Active, not recruiting",Interventional,Phase 3,Hospital do Coracao,Other,1-Apr-20,30-Aug-20,30-Aug-20,TREATMENT,630,CORONAVIRUS INFECTION,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",HYDROXYCHLOROQUINE ORAL PRODUCT,EVALUATION OF THE CLINICAL STATUS,"An Open-label, Randomized Controlled Trial of Hydroxychloroquine and Azithromycin for COVID-19 Infection on Hospitalized, Noncritical Patients"
NCT04322188,Completed,Observational,,A.O. Ospedale Papa Giovanni XXIII,Other,19-Mar-20,8-May-20,8-May-20,COHORT,220,SEVERE ACUTE RESPIRATORY SYNDROME (ARDS) SECONDARY TO SARS-COV2 INFECTION,ITALY,ALL,"18 Years and older   (Adult, Older Adult)",,MORTALITY IN SILTUXIMAB TREATED PATIENTS,An Observational Study of the Use of Siltuximab (SYLVANT) in Patients Diagnosed With COVID-19 Infection Who Have Developed Serious Respiratory Complications
NCT04322279,Recruiting,Observational,,"Institut National de la Santé Et de la Recherche Médicale, France",Other,9-Mar-20,1-Jun-21,1-Mar-21,COHORT,300,CORONAVIRUS,FRANCE,ALL,"Child, Adult, Older Adult",SEROLOGY,PROPORTION OF SUBJECTS WITH SARS-COV-2 POSITIVE SEROLOGY AT DAY 30 FOLLOWING THE LAST HIGH/MODERATE RISK CONTACT WITH A LABORATORY-CONFIRMED SARS-COV-2 CASE.,Factors Associated With a Positive SARS-CoV-2 Serology in Contact Subjects at High/Moderate Risk of Coronavirus SARS-CoV-2 Infection. (CoV-CONTACT-SERO)
NCT04322344,Recruiting,Interventional,Phase 2/Phase 3,University of Catanzaro,Other,23-Mar-20,30-Dec-20,30-Jun-20,SUPPORTIVE CARE,120,CORONAVIRUS INFECTION,ITALY,ALL,"18 Years to 75 Years   (Adult, Older Adult)",ESCIN,MORTALITY RATE,Efficacy and Safety of Escin as add-on Treatment in Covid-19 Infected Patients
NCT04322396,Completed,Interventional,Phase 2,"Chronic Obstructive Pulmonary Disease Trial Network, Denmark",Other,6-Apr-20,2-Feb-21,2-Feb-21,TREATMENT,117,VIRUS DISEASES,DENMARK,ALL,"Child, Adult, Older Adult",AZITHROMYCIN,NUMBER OF DAYS ALIVE AND DISCHARGED FROM HOSPITAL WITHIN 14 DAYS,"Proactive Protection With Azithromycin and Hydroxychloroquine in Hospitalized Patients With COVID: A Randomized, Placebo-controlled Double-blinded Trial Evaluating Treatment With Azithromycin and Hydroxychloroquine to Patients With COVID-19"
NCT04322487,Recruiting,Observational,,Catholic University of the Sacred Heart,Other,8-Apr-20,15-Jan-21,31-Dec-20,CASE-ONLY,100,CORONAVIRUS,ITALY,ALL,"Child, Adult, Older Adult",LUNG ULTRASOUND,LUNG ULTRASOUND GRADING SYSTEM FOR COVID-19 PNEUMONIA,"Proposal for International Standardization of the Use of Lung Ultrasound for COVID-19 Patients; a Simple, Quantitative, Reproducible Method"
NCT04322513,Recruiting,Observational,,University of Catanzaro,Other,24-Mar-20,30-Dec-20,30-Jun-20,CASE-CONTROL,110,CORONAVIRUS,ITALY,ALL,"14 Years to 75 Years   (Child, Adult, Older Adult)",BIOMARKERS EXPRESSION,BIOMARKERS EXPRESSION,Biomarkers Identification for Diagnosis and Treatment of SARS-COV-2 Infection
NCT04322565,Recruiting,Interventional,Phase 2,Azienda Ospedaliero-Universitaria di Parma,Other,20-Apr-20,21-Dec-20,20-Dec-20,TREATMENT,310,CORONAVIRUS INFECTION,ITALY,ALL,"18 Years to 100 Years   (Adult, Older Adult)",COLCHICINE,CLINICAL IMPROVEMENT,Colchicine to Counteract Inflammatory Response in COVID-19 Pneumonia
NCT04322682,Completed,Interventional,Phase 3,Montreal Heart Institute,Other,23-Mar-20,21-Jan-21,21-Jan-21,TREATMENT,4506,CORONAVIRUS INFECTION,BRAZIL,ALL,"40 Years and older   (Adult, Older Adult)",COLCHICINE,NUMBER OF PARTICIPANTS WHO DIE OR REQUIRE HOSPITALIZATION DUE TO COVID-19 INFECTION,Colchicine Coronavirus SARS-CoV2 Trial (COLCORONA)
NCT04322773,Terminated,Interventional,Phase 2,Marius Henriksen,Other,5-Apr-20,8-Oct-20,8-Oct-20,TREATMENT,20,CORONA VIRUS DISEASE,DENMARK,ALL,"18 Years and older   (Adult, Older Adult)",ROACTEMRA IV,TIME TO INDEPENDENCE FROM SUPPLEMENTARY OXYGEN THERAPY,"Effectiveness of Interleukin-6 Receptor Inhibitors in the Management of Patients With Severe SARS-CoV-2 Pneumonia: An Open-Label, Multicenter Sequential and Cluster Randomized Trial"
NCT04322786,"Active, not recruiting",Observational,,"University College, London",Other,1-Jan-98,31-Mar-21,31-May-16,CASE-CONTROL,1302508,"COVID, CORONAVIRUS, ANGIOTENSIN CONVERTING ENZYME INHIBITORS, INFLUENZA, ELECTRONIC HEALTH RECORDS, EPIDEMIOLOGY, COMORBIDITY, INCIDENCE, UNITED KINGDOM",,ALL,"18 Years and older   (Adult, Older Adult)",ACE INHIBITOR,INCIDENCE OF INFLUENZA,"The Use of Angiotensin Converting Enzyme Inhibitors and Incident Respiratory Infections, Are They Harmful or Protective? An Analysis Using UK Based Electronic Health Records of 5.6 Million Individuals."
NCT04323228,Recruiting,Interventional,Phase 2/Phase 3,King Saud University,Other,1-Sep-20,30-Dec-20,1-Dec-20,SUPPORTIVE CARE,40,COVID,SAUDI ARABIA,ALL,"18 Years to 65 Years   (Adult, Older Adult)",ORAL SUPPLEMENT ENRICHED IN ANTIOXIDANTS,CHANGE FROM BASELINE SCORE OF NUTRITION RISK SCREENING-2002 (NRS-2002) AT END OF THE TRIAL,Anti-inflammatory/Antioxidant Oral Nutrition Supplementation on the Cytokine Storm and Progression of COVID-19: A Randomized Controlled Trial
NCT04323332,Not yet recruiting,Interventional,Phase 3,Xiyuan Hospital of China Academy of Chinese Medical Sciences,Other,20-Mar-21,20-Apr-21,20-Mar-21,TREATMENT,50,COVID,CHINA,ALL,"up to 85 Years   (Child, Adult, Older Adult)",TRADITIONAL CHINESE MEDICINE PRESCRIPTION,LENGTH OF HOSPITAL STAY (DAYS),A Retrospective Cohort Study to Evaluate the Efficacy and Safety of Traditional Chinese Medicine as an Adjuvant Treatment for Patients With Severe COVID-19
NCT04323345,Recruiting,Interventional,Phase 3,Misr University for Science and Technology,Other,15-Apr-20,15-Jan-21,15-Dec-20,TREATMENT,1000,COVID,EGYPT,ALL,"5 Years to 75 Years   (Child, Adult, Older Adult)",NATURAL HONEY,RATE OF RECOVERY FROM POSITIVE TO NEGATIVE SWAPS,"The Efficacy of Natural Honey in Patients Infected With Novel Coronavirus (COVID-19) : A Randomized, Controlled ,Single Masked , Investigator Initiated, Multi-center Trial"
NCT04323514,Recruiting,Interventional,Not Applicable,University of Palermo,Other,13-Mar-20,13-Mar-21,13-Mar-21,TREATMENT,500,HOSPITALIZED PATIENTS WITH COVID PNEUMONIA,ITALY,ALL,"Child, Adult, Older Adult",VITAMIN C,IN-HOSPITAL MORTALITY,Use of Ascorbic Acid in Patients With COVID 19
NCT04323527,Completed,Interventional,Phase 2,Fundação de Medicina Tropical Dr. Heitor Vieira Dourado,Other,23-Mar-20,7-Jun-20,7-May-20,TREATMENT,278,SARS-COV INFECTION,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",CHLOROQUINE DIPHOSPHATE,MORTALITY RATE REDUCTION OF 50% BY DAY 28,"Efficacy and Safety of Chloroquine Diphosphate for the Treatment of Hospitalized Patients With Severe Acute Respiratory Syndrome Secondary to SARS-CoV2: a Phase IIb, Double-blind, Randomized Adaptive Clinical Trial"
NCT04323592,Completed,Observational [Patient Registry],,University of Trieste,Other,23-Mar-20,10-May-20,10-May-20,COHORT,173,SEVERE ACUTE RESPIRATORY SYNDROME (SARS) PNEUMONIA,ITALY,ALL,"18 Years to 80 Years   (Adult, Older Adult)",METHYLPREDNISOLONE,"COMPOSITE PRIMARY END-POINT: ADMISSION TO ICU, NEED FOR INVASIVE MECHANICAL VENTILATION (MV), OR ALL-CAUSE DEATH BY DAY 28",Prolonged Low Doses of Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome
NCT04323631,Withdrawn,Interventional,Early Phase 1,Rambam Health Care Campus,Other,30-Apr-20,30-Apr-20,30-Apr-20,TREATMENT,0,COVID,,ALL,"18 Years and older   (Adult, Older Adult)",HYDROXYCHLOROQUINE,NUMBER PATIENTS DEVELOPING SEVERE INFECTION OR DEATH,Hydroxychloroquine for the Treatment of Patients With Mild to Moderate COVID-19 to Prevent Progression to Severe Infection or Death
NCT04323644,Recruiting,Observational,,University of Birmingham,Other,1-Jan-20,30-Sep-20,30-Sep-20,COHORT,1000,COVID,SPAIN,ALL,"Child, Adult, Older Adult",SURGERY,30-DAY MORTALITY,Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg)
NCT04323761,Approved for marketing,Expanded Access,,Gilead Sciences,Industry,,,,,,SARS-COV2 INFECTION,AUSTRALIA,ALL,"12 Years and older   (Child, Adult, Older Adult)",REMDESIVIR,,Expanded Access Treatment Protocol: Remdesivir (RDV; GS-5734) for the Treatment of SARS-CoV2 (CoV) Infection
NCT04323787,Recruiting,Observational,,Mayo Clinic,Other,30-Mar-20,30-Apr-21,30-Apr-21,COHORT,50000,CORONAVIRUS,UNITED STATES,ALL,"Child, Adult, Older Adult",OBSERVATIONAL,ICU AND HOSPITAL MORTALITY OF COVID-19 PATIENTS,Viral Infection and Respiratory Illness Universal Study[VIRUS]: COVID-19 Registry and Validation of C2D2 (Critical Care Data Dictionary)
NCT04323800,Recruiting,Interventional,Phase 2,Johns Hopkins University,Other,10-Jun-20,23-Jan-21,31-Dec-22,TREATMENT,500,CORONAVIRUS,UNITED STATES,ALL,"18 Years and older   (Adult, Older Adult)",ANTI- SARS-COV-2 PLASMA,EFFICACY OF TREATMENT AT DAY 28,"Convalescent Plasma to Stem Coronavirus: A Randomized, Blinded Phase 2 Study Comparing the Efficacy and Safety Human Coronavirus Immune Plasma (HCIP) vs. Control (SARS-CoV-2 Non-immune Plasma) Among Adults Exposed to COVID-19"
NCT04323839,Enrolling by invitation,Observational [Patient Registry],,"University of California, San Francisco",Other,20-Mar-20,31-Mar-24,31-Mar-24,COHORT,2000,PREGNANCY,UNITED STATES,FEMALE,"13 Years and older   (Child, Adult, Older Adult)",PREGNANT WOMEN UNDER INVESTIGATION FOR CORONAVIRUS OR DIAGNOSED WITH COVID-19,CLINICAL PRESENTATION,PRIORITY (Pregnancy Coronavirus Outcomes Registry)
NCT04323878,Recruiting,Observational,,Mario Negri Institute for Pharmacological Research,Other,1-Jun-20,21-Dec-21,21-Mar-21,COHORT,3000,EARLY CPAP VENTILATION IN COVID PATIENTS,ITALY,ALL,"18 Years and older   (Adult, Older Adult)",,DEATH OR NEED OF INTUBATION,EC-COVID-PCS - Early CPAP in COVID Patients With Respiratory Failure. A Prospective Cohort Study.
NCT04324021,Terminated,Interventional,Phase 2/Phase 3,Swedish Orphan Biovitrum,Industry,2-Apr-20,13-Nov-20,13-Nov-20,TREATMENT,16,SARS-COV2,ITALY,ALL,"18 Years to 85 Years   (Adult, Older Adult)",EMAPALUMAB,TREATMENT SUCCESS,"A Phase 2/3, Randomized, Open-label, Parallel Group, 3-arm, Multicenter Study Investigating the Efficacy and Safety of Intravenous Administrations of Emapalumab, an Anti-interferon Gamma (Anti-IFNγ) Monoclonal Antibody, and Anakinra, an Interleukin-1(IL-1) Receptor Antagonist, Versus Standard of Care, in Reducing Hyper-inflammation and Respiratory Distress in Patients With SARS-CoV-2 Infection."
NCT04324047,Recruiting,Observational,,Assistance Publique - Hôpitaux de Paris,Other,27-Mar-20,31-Dec-21,27-Mar-21,COHORT,1000,CORONAVIRUS INFECTION,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",,SURVIVAL,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients
NCT04324073,"Active, not recruiting",Interventional,Phase 2/Phase 3,Assistance Publique - Hôpitaux de Paris,Other,27-Mar-20,31-Dec-21,27-Mar-21,TREATMENT,239,CORONAVIRUS INFECTION,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",SARILUMAB,SURVIVAL WITHOUT NEEDS OF VENTILATOR UTILIZATION AT DAY 14.,Cohort Multiple Randomized Controlled Trials Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients - Sarilumab Trial - CORIMUNO-19 - SARI
NCT04324190,Recruiting,Interventional,Not Applicable,Gunther Meinlschmidt,Other,8-Apr-20,21-Dec-21,20-Jun-21,TREATMENT,600,COVID,GERMANY,ALL,"18 Years and older   (Adult, Older Adult)",GUIDED ONLINE SUPPORT PROGRAM,CHANGE IN SHORT-FORM-36 (SF-36) HEALTH SURVEY - MENTAL HEALTH COMPONENT SUMMARY SCORE,Online Support for Psychosocial Stress in the Context of the COVID-19 Pandemic
NCT04324463,Recruiting,Interventional,Phase 3,Population Health Research Institute,Other,21-Apr-20,30-Jun-21,31-Dec-20,TREATMENT,4000,CORONAVIRUS,BRAZIL,ALL,"18 Years and older   (Adult, Older Adult)",COLCHICINE,OUTPATIENT TRIAL - COLCHICINE VS. CONTROL AND ASPIRIN VS. CONTROL,"Anti-Coronavirus Therapies to Prevent Progression of COVID-19, a Randomized Trial"
NCT04324489,Completed,Interventional,Not Applicable,Renmin Hospital of Wuhan University,Other,6-Mar-20,30-Apr-20,16-Apr-20,TREATMENT,4,COVID,CHINA,ALL,"18 Years to 70 Years   (Adult, Older Adult)",DAS181,IMPROVED CLINICAL STATUS,DAS181 for Severe COVID-19: Compassionate Use
NCT04324528,Recruiting,Interventional,Not Applicable,Dr. Alexander Supady,Other,27-Mar-20,26-Nov-20,26-Sep-20,TREATMENT,30,CORONAVIRUS,GERMANY,ALL,"18 Years to 100 Years   (Adult, Older Adult)",VV-ECMO + CYTOKINE ADSORPTION (CYTOSORB ADSORBER),INTERLEUKIN-6 (IL-6) LEVEL AFTER 72 HOURS,Cytokine Adsorption in Severe COVID-19 Pneumonia Requiring Extracorporeal Membrane Oxygenation
NCT04324606,"Active, not recruiting",Interventional,Phase 1/Phase 2,University of Oxford,Other,23-Apr-20,21-Oct-21,21-Oct-21,TREATMENT,1090,CORONAVIRUS,UNITED KINGDOM,ALL,18 Years to 55 Years   (Adult),CHADOX1 NCOV-19,ASSESS EFFICACY OF THE CANDIDATE CHADOX1 NCOV-19 AGAINST COVID-19: NUMBER OF VIROLOGICALLY CONFIRMED (PCR POSITIVE) SYMPTOMATIC CASES,"A Phase I/II Study to Determine Efficacy, Safety and Immunogenicity of the Candidate Coronavirus Disease (COVID-19) Vaccine ChAdOx1 nCoV-19 in UK Healthy Adult Volunteers"
NCT04324684,Completed,Observational,,Catholic University of the Sacred Heart,Other,31-Mar-20,7-May-20,7-May-20,CASE-CONTROL,198,"PNEUMONIA, VIRAL",ITALY,ALL,"18 Years to 100 Years   (Adult, Older Adult)",,RATE OF RECOVERY,Time of Recovery and Prognostic Factors of COVID-19 Pneumonia
NCT04324736,Completed,Observational,,Nantes University Hospital,Other,10-Mar-20,31-Dec-20,10-Apr-20,COHORT,5309,CORONAVIRUS,FRANCE,ALL,"Child, Adult, Older Adult",NO INTERVENTIONAL STUDY,ASSESS THE PREVALENCE OF SEVERE FORMS AMONG HOSPITALIZED PATIENTS WITH DIABÈTES AND COVID-19,"""Coronavirus SARS-CoV2 and Diabetes Outcomes"" : CORONADO"
NCT04324866,Not yet recruiting,Observational,,Universita di Verona,Other,1-Apr-20,20-Dec-21,20-Nov-21,COHORT,300,CORONAVIRUS INFECTION,,ALL,"18 Years to 75 Years   (Adult, Older Adult)",NASOPHARYNGEAL SWAB,POINT PREVALENCE OF COVID-19 INFECTION,Prevalence and Incidence of COVID-19 Infection in Patients With Chronic Plaque Psoriasis on Immunosuppressant Therapy
NCT04324996,Recruiting,Interventional,Phase 1/Phase 2,Chongqing Public Health Medical Center,Other,21-Feb-20,31-Aug-22,20-Feb-22,TREATMENT,90,COVID,CHINA,ALL,"18 Years and older   (Adult, Older Adult)","NK CELLS,IL15-NK CELLS,NKG2D CAR-NK CELLS,ACE2 CAR-NK CELLS,NKG2D-ACE2 CAR-NK CELLS",CLINICAL RESPONSE,A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells Secreting IL15 Superagonist and GM-CSF-neutralizing scFv for Therapy of COVID-19
NCT04325048,Recruiting,Observational [Patient Registry],,Cordio Medical,Industry,23-Apr-20,21-Sep-21,21-Jun-21,COHORT,5000,CORONAVIRUS INFECTION,ISRAEL,ALL,"18 Years and older   (Adult, Older Adult)",CORDIO APP,VOICE ANAYSIS,Single-Arm Observational Study Designed to Clinically Evaluate Cordio Application in Adult Patients Positive to COVID-19
NCT04325061,Terminated,Interventional,Phase 4,Dr. Negrin University Hospital,Other,3-Apr-20,19-Jun-20,19-Jun-20,TREATMENT,19,ACUTE RESPIRATORY DISTRESS SYNDROME CAUSED BY COVID,SPAIN,ALL,"18 Years and older   (Adult, Older Adult)",DEXAMETHASONE,60-DAY MORTALITY,Efficacy of Dexamethasone Treatment for Patients With ARDS Caused by COVID-19
NCT04325412,Recruiting,Observational [Patient Registry],,UMC Utrecht,Other,23-Mar-20,23-Jun-21,23-Mar-21,COHORT,1000,COVID; CARDIOVASCULAR DISEASES,NETHERLANDS,ALL,"18 Years and older   (Adult, Older Adult)",,THE INCIDENCE OF CARDIOVASCULAR COMPLICATIONS IN PATIENTS WITH COVID-19,Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY
NCT04325633,Terminated,Interventional,Phase 3,Assistance Publique - Hôpitaux de Paris,Other,24-Apr-20,15-Dec-20,15-Dec-20,TREATMENT,30,COVID,FRANCE,ALL,"18 Years and older   (Adult, Older Adult)",1: NAPROXEN,MORTALITY ALL CAUSES AT DAY30,Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection
NCT04325646,Recruiting,Observational,,Institut Pasteur,Industry,13-Mar-20,28-Feb-23,28-Feb-21,COHORT,2000,SARS (SEVERE ACUTE RESPIRATORY SYNDROME),FRANCE,ALL,"5 Years and older   (Child, Adult, Older Adult)",HUMAN BIOLOGICAL SAMPLES,PRESENCE OF SPECIFIC ANTI-SARS-COV-2 ANTIBODIES IN THE DIFFERENT STUDY GROUPS.,Sero-epidemiological Study of the SARS-CoV-2 Virus in France: Constitution of a Collection of Human Biological Samples
NCT04325672,Withdrawn,Interventional,Phase 2,Mayo Clinic,Other,1-Apr-20,31-Dec-22,31-Dec-22,BASIC SCIENCE,0,CORONAVIRUS,,ALL,"18 Years and older   (Adult, Older Adult)",CONVALESCENT PLASMA,RNA IN SARS-COV-2,"Convalescent Plasma to Limit Coronavirus Associated Complications: An Open Label, Phase 2A Study of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19"
NCT04325867,Recruiting,Interventional,Not Applicable,Professor Adrian Covic,Other,31-Mar-20,1-Oct-20,1-Oct-20,HEALTH SERVICES RESEARCH,200,ANGINA PECTORIS,ROMANIA,ALL,"Child, Adult, Older Adult",TELE-MEDICINE PLATFORM,PROVIDING A SPECIAL ELECTRONIC PLATFORM (E-HEALTH) FOR REMOTE MANAGING CARDIOVASCULAR OUTPATIENTS,"Integrated Distance Management Strategy for Patients With Cardiovascular Disease (Ischaemic Coronary Artery Disease, High Blood Pressure, Heart Failure) in the Context of the COVID-19 Pandemic"
